url,topic_main,topic_main_probability,topic_main_label,top_topics,top_probabilities,top_topic_labels
http://arxiv.org/abs/2111.11418v1,22,1.0,22_vision_mlp_transformer_object,"[22, 56, 124]","[1.0, 9.463184339153262e-307, 8.018218006682004e-307]","['22_vision_mlp_transformer_object', '56_segmentation_semantic_rgb_module', '124_ssl_lt_learning_cues']"
http://arxiv.org/abs/2111.11410v1,68,0.09075383573669958,68_channel_dnn_pilot_mimo,"[68, 107, 119]","[0.09075383573669958, 0.03095785360909126, 0.027224107797506426]","['68_channel_dnn_pilot_mimo', '107_codes_decoding_polar_rcq', '119_frames_sensing_sampling_rate']"
http://arxiv.org/abs/2111.11359v1,25,0.3395785894192375,25_materials_phonon_thermal_ferroelectric,"[25, 102, 92]","[0.3395785894192375, 0.04079847099610587, 0.037180003758196134]","['25_materials_phonon_thermal_ferroelectric', '102_catalysts_surface_adsorption_cu', '92_alloys_mg_deformation_alloy']"
http://arxiv.org/abs/2111.11352v1,25,0.48428724600746675,25_materials_phonon_thermal_ferroelectric,"[25, 92, 16]","[0.48428724600746675, 0.03345661127949854, 0.03260498235007645]","['25_materials_phonon_thermal_ferroelectric', '92_alloys_mg_deformation_alloy', '16_spin_magnetic_topological_hall']"
http://arxiv.org/abs/2111.11343v1,3,1.0,3_privacy_fl_federated_learning,"[3, 24, 74]","[1.0, 4.183885661743194e-307, 4.076065238666734e-307]","['3_privacy_fl_federated_learning', '24_blockchain_security_transaction_chain', '74_iot_security_cyber_smart']"
http://arxiv.org/abs/2111.11324v1,-1,0.00023646657765318766,-1_the_of_and_to,"[18, 87, 52]","[0.007667800561351383, 0.006888039609426489, 0.006101939540988106]","['18_detector_proton_muon_mu', '87_neutrino_detector_xenon_experiment', '52_telescope_ray_cta_telescopes']"
http://arxiv.org/abs/2111.11310v1,-1,0.00032034954718482164,-1_the_of_and_to,"[88, 121, 118]","[0.0021112655465035427, 0.0020628750573344675, 0.0020191162411836755]","['88_kernel_design_rbf_reliability', '121_chains_stochastic_markov_inflation', '118_precipitation_forecasting_fade_rain']"
http://arxiv.org/abs/2111.11304v1,18,0.0756101995461739,18_detector_proton_muon_mu,"[18, 87, 95]","[0.0756101995461739, 0.05596639914738077, 0.03515117918377552]","['18_detector_proton_muon_mu', '87_neutrino_detector_xenon_experiment', '95_dark_matter_axion_dm']"
http://arxiv.org/abs/2111.11299v1,127,1.0,127_aerodynamic_airfoil_wings_stall,"[127, 101, 30]","[1.0, 1.6473622881358815e-306, 1.1648963485766533e-306]","['127_aerodynamic_airfoil_wings_stall', '101_heat_thermal_building_energy', '30_order_schemes_equations_numerical']"
http://arxiv.org/abs/2111.11241v1,-1,0.0009036044421939162,-1_the_of_and_to,"[65, 76, 116]","[0.016255594876788824, 0.011521011385308486, 0.006280204855012393]","['65_manipulation_robot_object_planning', '76_navigation_planning_robot_path', '116_uav_autonomous_drone_path']"
http://arxiv.org/abs/2111.11236v1,10,0.1767993035490341,10_segmentation_ct_covid_images,"[10, 91, 100]","[0.1767993035490341, 0.03583850668386041, 0.023293859127142293]","['10_segmentation_ct_covid_images', '91_reconstruction_mri_images_image', '100_brain_mdd_symptom_connectome']"
http://arxiv.org/abs/2111.11232v1,17,0.39987143376973355,17_rl_reinforcement_policy_reward,"[17, 43, 76]","[0.39987143376973355, 0.024961698606154586, 0.017388587910500995]","['17_rl_reinforcement_policy_reward', '43_regret_bandit_bandits_arm', '76_navigation_planning_robot_path']"
http://arxiv.org/abs/2111.11220v1,-1,0.0021746249247728486,-1_the_of_and_to,"[94, 30, 57]","[0.08889678745001361, 0.021865309151243812, 0.019016286490017426]","['94_hat_left_right_cl', '30_order_schemes_equations_numerical', '57_topology_optimization_material_element']"
http://arxiv.org/abs/2111.11211v1,-1,0.0018021772072013113,-1_the_of_and_to,"[41, 44, 72]","[0.019144825901769524, 0.01780399098572322, 0.01225906477497412]","['41_ai_ethical_xai_ethics', '44_digital_innovation_research_health', '72_software_quality_development_agile']"
http://arxiv.org/abs/2111.11190v1,-1,0.00024638399705759683,-1_the_of_and_to,"[46, 87, 52]","[0.015134525784311861, 0.008646756421820048, 0.00854558306656728]","['46_icecube_neutrino_neutrinos_ice', '87_neutrino_detector_xenon_experiment', '52_telescope_ray_cta_telescopes']"
http://arxiv.org/abs/2111.11184v1,-1,0.0009705704963948787,-1_the_of_and_to,"[18, 87, 60]","[0.08979893052135453, 0.026780789155886577, 0.02260170958631116]","['18_detector_proton_muon_mu', '87_neutrino_detector_xenon_experiment', '60_plasma_beam_bunch_fusion']"
http://arxiv.org/abs/2111.11169v1,-1,0.005056333705385246,-1_the_of_and_to,"[34, 63, 75]","[0.04695345741419233, 0.04387895448181733, 0.03218790269642809]","['34_type_calculus_proof_language', '63_refactoring_developers_code_bug', '75_formal_systems_development_twin']"
http://arxiv.org/abs/2111.11143v1,-1,0.001731435703002829,-1_the_of_and_to,"[90, 39, 65]","[0.06861747177969221, 0.05924805134616095, 0.022057501839647498]","['90_robot_walking_humanoid_position', '39_soft_robotic_robot_robots', '65_manipulation_robot_object_planning']"
http://arxiv.org/abs/2111.11142v1,-1,0.0014929778771310932,-1_the_of_and_to,"[126, 51, 21]","[0.01462887017783423, 0.011497869463184008, 0.009514347374173572]","['126_estimator_wage_inequality_income', '51_covid_pandemic_19_disease', '21_treatment_trial_trials_randomized']"
http://arxiv.org/abs/2111.11124v1,-1,0.00571124157018428,-1_the_of_and_to,"[38, 111, 22]","[0.025679102765995162, 0.016147637677915, 0.013285384583589918]","['38_nas_search_pruning_neural', '111_quantization_bnn_binary_bit', '22_vision_mlp_transformer_object']"
http://arxiv.org/abs/2111.11112v1,-1,0.001962061217188613,-1_the_of_and_to,"[61, 123, 115]","[0.07278187503560883, 0.03420871635110094, 0.03002011049361171]","['61_noma_access_wireless_owc', '123_satellite_constellations_satellites_constellation', '115_positioning_localization_csi_gnss']"
http://arxiv.org/abs/2111.11108v1,-1,0.004691844331048529,-1_the_of_and_to,"[66, 27, 33]","[0.021342247053829675, 0.015827545421863053, 0.010406702102544994]","['66_anomaly_detection_outlier_anomalies', '27_explanations_prediction_temporal_mobility', '33_signals_rf_har_eeg']"
http://arxiv.org/abs/2111.11100v1,-1,0.0016362292039049603,-1_the_of_and_to,"[25, 102, 16]","[0.0673454747380689, 0.03634394850625124, 0.02491475918296937]","['25_materials_phonon_thermal_ferroelectric', '102_catalysts_surface_adsorption_cu', '16_spin_magnetic_topological_hall']"
http://arxiv.org/abs/2111.11094v1,23,0.032965802463819374,23_neural_pinns_physics_equations,"[23, 77, 127]","[0.032965802463819374, 0.008666586359603783, 0.007384911277551785]","['23_neural_pinns_physics_equations', '77_defect_fault_deep_cnn', '127_aerodynamic_airfoil_wings_stall']"
http://arxiv.org/abs/2111.11090v1,17,0.32537819243071786,17_rl_reinforcement_policy_reward,"[17, 76, 117]","[0.32537819243071786, 0.027197392738749167, 0.02025322636230465]","['17_rl_reinforcement_policy_reward', '76_navigation_planning_robot_path', '117_game_games_randomness_player']"
http://arxiv.org/abs/2111.11086v1,4,0.07556218548302196,4_galaxy_galaxies_survey_redshift,"[4, 104, 52]","[0.07556218548302196, 0.05907168879056101, 0.03241345104134002]","['4_galaxy_galaxies_survey_redshift', '104_ao_mirror_wfs_wavefront', '52_telescope_ray_cta_telescopes']"
http://arxiv.org/abs/2111.11080v1,52,0.1225553742805047,52_telescope_ray_cta_telescopes,"[52, 104, 4]","[0.1225553742805047, 0.08929834039462153, 0.015526534610424166]","['52_telescope_ray_cta_telescopes', '104_ao_mirror_wfs_wavefront', '4_galaxy_galaxies_survey_redshift']"
http://arxiv.org/abs/2111.11072v1,6,0.08588579656675004,6_graphs_problem_graph_log,"[6, 107, 119]","[0.08588579656675004, 0.010783615955836436, 0.009667173027498154]","['6_graphs_problem_graph_log', '107_codes_decoding_polar_rcq', '119_frames_sensing_sampling_rate']"
http://arxiv.org/abs/2111.11068v1,52,0.1186696771357948,52_telescope_ray_cta_telescopes,"[52, 104, 46]","[0.1186696771357948, 0.06622469925323597, 0.015435099342280049]","['52_telescope_ray_cta_telescopes', '104_ao_mirror_wfs_wavefront', '46_icecube_neutrino_neutrinos_ice']"
